Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,People In Need,People Targeted
Khartoum,SD01,Jebel Awlia,SD01001,"621,782","375,441"
Khartoum,SD01,Um Bada,SD01002,"612,511","415,798"
Khartoum,SD01,Bahri,SD01003,"246,757","162,187"
Khartoum,SD01,Sharg An Neel,SD01004,"312,993","259,506"
Khartoum,SD01,Karrari,SD01005,"409,488","301,902"
Khartoum,SD01,Um Durman,SD01006,"172,007","130,516"
Khartoum,SD01,Khartoum,SD01007,"289,706","187,720"
North Darfur,SD02,Dar As Salam,SD02113,"110,332","56,407"
North Darfur,SD02,Al Fasher,SD02114,"861,786","542,744"
North Darfur,SD02,Al Koma,SD02116,"12,500","12,500"
North Darfur,SD02,Al Malha,SD02117,"22,062","22,062"
North Darfur,SD02,As Serief,SD02118,"33,818","22,974"
North Darfur,SD02,At Tawisha,SD02119,"15,857","8,692"
North Darfur,SD02,Um Baru,SD02120,"41,937","11,133"
North Darfur,SD02,Kebkabiya,SD02124,"177,091","114,461"
North Darfur,SD02,Kelemando,SD02126,"28,243","28,226"
North Darfur,SD02,Kutum,SD02128,"184,694","131,277"
North Darfur,SD02,Melit,SD02129,"79,239","64,049"
North Darfur,SD02,Saraf Omra,SD02133,"157,288","83,517"
North Darfur,SD02,Um Kadadah,SD02136,"44,665","14,421"
North Darfur,SD02,Kernoi,SD02168,"43,782","7,948"
North Darfur,SD02,Al Lait,SD02169,"76,612","74,574"
North Darfur,SD02,Tawila,SD02170,"140,819","92,776"
North Darfur,SD02,At Tina,SD02171,"19,634","19,548"
South Darfur,SD03,Al Radoum,SD03141,"115,305","105,857"
South Darfur,SD03,Ed Al Fursan,SD03143,"93,455","48,504"
South Darfur,SD03,Kas,SD03144,"252,194","126,097"
South Darfur,SD03,Mershing,SD03145,"102,793","97,404"
South Darfur,SD03,Um Dafoug,SD03146,"39,806","29,277"
South Darfur,SD03,Sharg Aj Jabal,SD03147,"12,236","12,236"
South Darfur,SD03,Tulus,SD03149,"83,946","73,318"
South Darfur,SD03,Al Wihda,SD03150,"36,990","34,746"
South Darfur,SD03,Nitega,SD03151,"81,263","47,322"
South Darfur,SD03,Gereida,SD03153,"216,584","144,867"
South Darfur,SD03,Shattaya,SD03154,"26,785","12,835"
South Darfur,SD03,As Sunta,SD03156,"81,594","56,257"
South Darfur,SD03,Kubum,SD03157,"72,920","48,364"
South Darfur,SD03,Rehaid Albirdi,SD03158,"109,010","67,692"
South Darfur,SD03,Kateila,SD03159,"66,555","41,742"
South Darfur,SD03,Buram,SD03161,"132,477","69,067"
South Darfur,SD03,Beliel,SD03162,"575,819","406,303"
South Darfur,SD03,Nyala Shimal,SD03164,"607,594","243,463"
South Darfur,SD03,As Salam - SD,SD03166,"65,008","44,048"
South Darfur,SD03,Nyala Janoub,SD03167,"314,897","139,494"
South Darfur,SD03,Damso,SD03172,"68,121","49,494"
West Darfur,SD04,Beida,SD04111,"126,055","86,947"
West Darfur,SD04,Ag Geneina,SD04115,"354,234","354,234"
