State,County,Cluster,Name of organization,Acronym,Type,Reporting Month
#adm1+name,#adm2+name,#sector+cluster,#org+name,#org+acronym,#org+type,#date
Abyei Area,Abyei Area,FSL,Abyei Community Action for Development,ACAD,NNGO,Jan-25
Abyei Area,Abyei Area,FSL,World Food Programme,WFP,UN,Jan-25
Abyei Area,Abyei Area,Health,GOAL,GOAL,INGO,Jan-25
Abyei Area,Abyei Area,Health,International Organization for Migration,IOM,UN,Jan-25
Abyei Area,Abyei Area,Health,Save the Children International,SCI,INGO,Jan-25
Abyei Area,Abyei Area,Logistics,World Food Programme,WFP,UN,Jan-25
Abyei Area,Abyei Area,Nutrition,Save the Children International,SCI,INGO,Jan-25
Abyei Area,Abyei Area,Protection,Hold the Child Organisation,HCO,NNGO,Jan-25
Abyei Area,Abyei Area,Protection,Integrated Humanitarian Aid,IHA,NNGO,Jan-25
Abyei Area,Abyei Area,Protection,International Organization for Migration,IOM,UN,Jan-25
Abyei Area,Abyei Area,Protection,United Nations Children's Fund,UNICEF,UN,Jan-25
Abyei Area,Abyei Area,WASH,Save the Children International,SCI,INGO,Jan-25
Central Equatoria,Juba,CCCM,United Nations High Commissioner for Refugees,UNHCR,UN,Jan-25
Central Equatoria,Juba,Education,Aid Link Organisation,ALO,NNGO,Jan-25
Central Equatoria,Juba,Education,Aid Link Organization,ALO,NNGO,Jan-25
Central Equatoria,Juba,Education,Windle Trust International,WTI,INGO,Jan-25
Central Equatoria,Juba,FSL,Association of Christian Resource Organizations Serving Sudan,ACROSS,NNGO,Jan-25
Central Equatoria,Juba,FSL,World Food Programme,WFP,UN,Jan-25
Central Equatoria,Juba,Health,Global Health and Humanitarian Action South Sudan,GHHA,NNGO,Jan-25
Central Equatoria,Juba,Health,International Medical Corps,IMC,INGO,Jan-25
Central Equatoria,Juba,Health,Women Agency for Resilience and Transformation,WART,NNGO,Jan-25
Central Equatoria,Juba,Logistics,International Organization for Migration,IOM,UN,Jan-25
Central Equatoria,Juba,Logistics,World Food Programme,WFP,UN,Jan-25
Central Equatoria,Juba,Nutrition,World Vision International,WVI,INGO,Jan-25
Central Equatoria,Juba,Protection,ACT Alliance / Norwegian Church Aid,ACT Alliance/NCA,INGO,Jan-25
Central Equatoria,Juba,Protection,Aid Link Organisation,ALO,NNGO,Jan-25
Central Equatoria,Juba,Protection,Aid Link Organization,ALO,NNGO,Jan-25
Central Equatoria,Juba,Protection,Confident Children out of Conflict,CCC,NNGO,Jan-25
Central Equatoria,Juba,Protection,Farson for Better Tomorrow,Farson,NNGO,Jan-25
Central Equatoria,Juba,Protection,Group 4 Securicor,G4S,INGO,Jan-25
Central Equatoria,Juba,Protection,Grassroot Empowerment and Development Organization,GREDO,NNGO,Jan-25
Central Equatoria,Juba,Protection,Humanitarian and Development Consortium,HDC,NNGO,Jan-25
Central Equatoria,Juba,Protection,Lulu Care - South Sudan,Lulu Care-SS,NNGO,Jan-25
Central Equatoria,Juba,Protection,Mobile Theatre Team,MTT,NNGO,Jan-25
