location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,org_acronym,org_name,org_type_description,sector_code,sector_name,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#org+acronym,#org+name,#org+type,#sector+cluster+code,#sector+cluster+name,#date+start,#date+end
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,WR,World Relief,International NGO,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Blue Nile,Al Kurmuk,SD08,Blue Nile,SD08106,Al Kurmuk,2,WR,World Relief,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Abyei PCA,Abyei PCA area,SD19,Abyei PCA,SD19001,Abyei PCA area,2,WHO,World Health Organization,United Nations,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Hasahisa,SD15,Aj Jazirah,SD15034,Al Hasahisa,2,IOM,International Organization for Migration,United Nations,CCM,Camp Coordination / Management,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Hasahisa,SD15,Aj Jazirah,SD15034,Al Hasahisa,2,MAS,Muslim Aid Sudan,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Hasahisa,SD15,Aj Jazirah,SD15034,Al Hasahisa,2,NADA,NADA Elazhar for Disaster Privention and Sustainable Development,National NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Hasahisa,SD15,Aj Jazirah,SD15034,Al Hasahisa,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Kamlin,SD15,Aj Jazirah,SD15035,Al Kamlin,2,MAS,Muslim Aid Sudan,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Kamlin,SD15,Aj Jazirah,SD15035,Al Kamlin,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,CAFA,CAFA Development Organization,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,CAFA,CAFA Development Organization,National NGO,PRO-MIN,Mine Action,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,DRC,Danish Refugee Council,International NGO,PRO-MIN,Mine Action,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,IOM,International Organization for Migration,United Nations,SHL,Emergency Shelter and NFI,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,KPHF,Kuwaiti Patients Helping Funds,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,MAS,Muslim Aid Sudan,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,NPO,National Planning Organization,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,NPO,National Planning Organization,National NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,PHF,Patient Helping Fund,National NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,PHF,Patient Helping Fund,National NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,PUI,Première Urgence Internationale,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,PUI,Première Urgence Internationale,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,RI,Relief International,International NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,RI,Relief International,International NGO,PRO,Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,RI,Relief International,International NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,SCI,Save the Children International,International NGO,PRO-CPN,Child Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,SCI,Save the Children International,International NGO,SHL,Emergency Shelter and NFI,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,SCI,Save the Children International,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,UNICEF,United Nations Children's Fund,United Nations,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,UNMAS,United Nations Mine Action Service,United Nations,PRO-MIN,Mine Action,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Manaqil,SD15,Aj Jazirah,SD15036,Al Manaqil,2,WHO,World Health Organization,United Nations,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,DRC,Danish Refugee Council,International NGO,PRO-MIN,Mine Action,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,KPHF,Kuwaiti Patients Helping Funds,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,MAS,Muslim Aid Sudan,International NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,NPO,National Planning Organization,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,NPO,National Planning Organization,National NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,PHF,Patient Helping Fund,National NGO,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,PHF,Patient Helping Fund,National NGO,NUT,Nutrition,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,SZWO,Sudan Zero Waste Organization,National NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,UNICEF,United Nations Children's Fund,United Nations,HEA,Health,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-01-01,2025-04-30
SDN,TRUE,TRUE,Aj Jazirah,Al Qurashi,SD15,Aj Jazirah,SD15037,Al Qurashi,2,UNMAS,United Nations Mine Action Service,United Nations,PRO-MIN,Mine Action,2025-01-01,2025-04-30
