Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,SO1 Target,SO2 Target,SO3  Target,<--- Needs Defined,,
Khartoum,SD01,Jebel Awlia,SD01001,133767,328982,12606,,,
Khartoum,SD01,Um Bada,SD01002,151203,371700,23625,,,
Khartoum,SD01,Bahri,SD01003,58092,138739,5475,,,
Khartoum,SD01,Sharg An Neel,SD01004,91206,213224,8595,,,
Khartoum,SD01,Karrari,SD01005,111531,272479,10511,,,
Khartoum,SD01,Um Durman,SD01006,46186,109056,4353,,,
Khartoum,SD01,Khartoum,SD01007,62461,150693,5886,,,
North Darfur,SD02,Dar As Salam,SD02113,11835,55166,22108,,,
North Darfur,SD02,Al Fasher,SD02114,134354,444222,267951,,,
North Darfur,SD02,Al Koma,SD02116,4635,3262,437,,,
North Darfur,SD02,Al Malha,SD02117,8180,4930,771,,,
North Darfur,SD02,As Serief,SD02118,4634,11546,4654,,,
North Darfur,SD02,At Tawisha,SD02119,3620,4427,452,,,
North Darfur,SD02,Um Baru,SD02120,4128,4943,504,,,
North Darfur,SD02,Kebkabiya,SD02124,30468,92818,22420,,,
North Darfur,SD02,Kelemando,SD02126,10466,7795,986,,,
North Darfur,SD02,Kutum,SD02128,44969,100470,26612,,,
North Darfur,SD02,Melit,SD02129,16826,25278,5764,,,
North Darfur,SD02,Saraf Omra,SD02133,17447,78644,1679,,,
North Darfur,SD02,Um Kadadah,SD02136,5347,12955,1321,,,
North Darfur,SD02,Kernoi,SD02168,4411,5537,565,,,
North Darfur,SD02,Al Lait,SD02169,8978,13337,1360,,,
North Darfur,SD02,Tawila,SD02170,34401,77905,45831,,,
North Darfur,SD02,At Tina,SD02171,7248,2172,2408,,,
South Darfur,SD03,Al Radoum,SD03141,33219,5948,3131,,,
South Darfur,SD03,Ed Al Fursan,SD03143,10406,3610,1805,,,
South Darfur,SD03,Kas,SD03144,43048,126442,46306,,,
South Darfur,SD03,Mershing,SD03145,36117,47013,19172,,,
South Darfur,SD03,Um Dafoug,SD03146,3917,346,348,,,
South Darfur,SD03,Sharg Aj Jabal,SD03147,4537,3824,1638,,,
South Darfur,SD03,Tulus,SD03149,16354,1283,524,,,
South Darfur,SD03,Al Wihda,SD03150,12884,11231,1214,,,
South Darfur,SD03,Nitega,SD03151,17547,22958,9620,,,
South Darfur,SD03,Gereida,SD03153,53716,117518,67448,,,
South Darfur,SD03,Shattaya,SD03154,4759,181,449,,,
South Darfur,SD03,As Sunta,SD03156,9282,4950,437,,,
South Darfur,SD03,Kubum,SD03157,10327,21873,2231,,,
South Darfur,SD03,Rehaid Albirdi,SD03158,25100,29845,3044,,,
South Darfur,SD03,Kateila,SD03159,8885,15195,3164,,,
South Darfur,SD03,Buram,SD03161,25353,43317,3195,,,
South Darfur,SD03,Beliel,SD03162,118986,315379,209852,,,
South Darfur,SD03,Nyala Shimal,SD03164,90275,63640,152714,,,
South Darfur,SD03,As Salam - SD,SD03166,15865,17378,1773,,,
South Darfur,SD03,Nyala Janoub,SD03167,49756,94599,43913,,,
South Darfur,SD03,Damso,SD03172,9321,1010,2214,,,
West Darfur,SD04,Beida,SD04111,32240,45188,4094,,,
West Darfur,SD04,Ag Geneina,SD04115,131209,322642,12365,,,
West Darfur,SD04,Foro Baranga,SD04121,15447,12698,2490,,,
West Darfur,SD04,Habila - WD,SD04122,26395,56832,20284,,,
West Darfur,SD04,Jebel Moon,SD04123,21260,43447,2004,,,
West Darfur,SD04,Kereneik,SD04125,33376,77103,17676,,,
West Darfur,SD04,Kulbus,SD04127,20729,38930,5240,,,
West Darfur,SD04,Sirba,SD04134,20173,30027,1901,,,
East Darfur,SD05,Adila,SD05139,11155,25620,2613,,,
East Darfur,SD05,Abu Jabrah,SD05140,16394,19531,1992,,,
East Darfur,SD05,Ad Du'ayn,SD05142,44210,124642,40126,,,
East Darfur,SD05,Shia'ria,SD05148,27582,56950,2875,,,
East Darfur,SD05,Al Firdous,SD05152,14587,36011,3549,,,
East Darfur,SD05,Abu Karinka,SD05155,22824,26711,2725,,,
East Darfur,SD05,Bahr Al Arab,SD05160,28453,67347,3313,,,
East Darfur,SD05,Assalaya,SD05163,16690,16803,2680,,,
East Darfur,SD05,Yassin,SD05165,25668,48639,2573,,,
Central Darfur,SD06,Azum,SD06110,32634,75858,37950,,,
Central Darfur,SD06,Bendasi,SD06112,15369,19824,14718,,,
Central Darfur,SD06,Mukjar,SD06130,27735,23423,12865,,,
Central Darfur,SD06,Gharb Jabal Marrah,SD06131,41024,61834,19000,,,
