Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,Edu Severity,EDU-PIN ,EDU-TAR,FSL Severity,FSL-PIN ,FSL-TAR,HLT Severity,HEA-PIN ,HEA-TAR,Nut Severity,NUT-PIN ,NUT-TAR,GP Severity,GP-PIN ,GP-TAR,CP Severity,CP-PIN ,CP-TAR,GBV Seveirty,GBV-PIN ,GBV-TAR,MA Severity,MA-PIN,MA-TAR,SNFI Severity,SNFI-PIN ,SNFI-TAR,WSH Severity,WASH-PIN ,WASH-TAR,SM Severity,SM-PIN,SM-TAR,RCF-PIN ,RCF-TAR
Khartoum,SD01,Jebel Awlia,SD01001,4,"341,102","101,817",3,"539,664","360,757",4,"54,444","38,111",4,"142,900","60,599",5,"94,623","56,774",5,"100,026","8,905",5,"100,828","20,166",4,"441,381","354,138",5,"265,427","27,398",4,"598,658","210,468",0,0,0,"14,684","14,684"
Khartoum,SD01,Um Bada,SD01002,4,"386,895","231,617",4,"604,496","407,783",4,"16,265","11,386",4,"151,495","62,102",5,"102,646","71,852",5,"111,167","7,269",5,"420,598","84,120",4,"499,596","400,121",5,"299,844","30,372",4,"479,807","295,505",0,0,0,"8,015","8,015"
Khartoum,SD01,Bahri,SD01003,4,"143,468","42,809",4,"210,015","156,670",4,"29,417","20,592",4,"66,592","29,201",5,"41,010","24,606",5,"42,664","4,478",5,"43,068","8,614",4,"185,915","149,355",5,"112,243","11,700",4,"236,586","83,061",0,0,0,"5,517","5,517"
Khartoum,SD01,Sharg An Neel,SD01004,4,"219,785","65,406",4,"272,719","245,976",4,"50,450","35,315",3,"59,626","23,863",5,"65,015","39,009",4,"66,429","7,931",4,"53,216",0,4,"285,298","229,533",5,"172,416","18,255",4,"240,067","151,735",0,0,0,"13,530","13,530"
Khartoum,SD01,Karrari,SD01005,4,"281,574","84,228",3,"408,376","300,790",4,"20,267","14,187",2,"52,036","23,011",5,"81,056","48,634",4,"84,010","8,876",4,"230,710",0,4,"365,007","293,316",5,"221,515","23,026",3,"327,881","173,462",0,0,0,"1,112","1,112"
Khartoum,SD01,Um Durman,SD01006,4,"112,637","33,560",4,"166,051","124,560",4,"53,916","37,741",4,"45,100","20,210",5,"32,635","19,581",5,"33,709","3,781",5,"122,078","24,416",4,"146,059","117,404",5,"88,154","9,253",4,"134,823","72,538",0,0,0,"5,956","5,956"
Khartoum,SD01,Khartoum,SD01007,4,"156,302","46,408",4,"270,437","168,451",4,"25,785","18,050",3,"40,764","16,830",5,"43,200","25,920",5,"45,758","3,984",5,"168,735","33,747",4,"202,218","162,223",5,"120,472","12,553",4,"141,812","97,047",0,0,0,"19,269","19,269"
North Darfur,SD02,Dar As Salam,SD02113,4,"42,776","23,099",3,"77,232","31,162",3,"110,332","55,166",3,"18,404","7,833",4,"60,683","24,273",4,"36,409","29,131",4,"39,302","15,721",2,"30,341",0,4,"44,133","16,770",4,"73,960","48,875",4,"44,216","22,108",0,0
North Darfur,SD02,Al Fasher,SD02114,4,"333,571","185,970",4,"857,984","362,342",3,"888,444","444,222",4,"142,902","61,411",5,"586,213","410,349",4,"339,172","292,071",5,"368,462","73,692",4,"541,342","433,073",5,"535,990","107,085",3,"553,386","361,116",5,"535,902","267,951","1,402","1,402"
North Darfur,SD02,Al Koma,SD02116,4,"5,572","3,262",4,"8,392","12,500",1,"12,500",0,4,"4,317","1,736",3,"3,012",754,4,"2,352",984,4,"2,110",844,0,0,0,2,0,0,3,"6,605","6,467",0,0,0,0,0
